date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:52	24155/24155	---MC-	200	added ('OK')	image/jpeg	date:Sun,%2026%20Sep%202021%2020:35:30%20GMT	https://collectionimages.npg.org.uk/panel/mw08477/The-Shudi-Family-Group.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw08477/mw08477.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/animals)
14:34:52	486/486	---M-Z	200	added ('OK')	image/gif	etag:%221e6-45daf87a155c0-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots7.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots7.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/animals)
14:34:53	26536/26536	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2019:41:05%20GMT	https://collectionimages.npg.org.uk/panel/mw120574/Shirley-Bassey-Sharon-Bassey.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw120574/mw120574.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/everything-else)
14:34:53	25786/25786	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2015%20Sep%202021%2010:29:54%20GMT	https://collectionimages.npg.org.uk/panel/mw58450/Graham-Hill-Damon-Hill.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw58450/mw58450.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/everything-else)
14:34:53	24104/24104	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2006%20Oct%202021%2018:56:06%20GMT	https://collectionimages.npg.org.uk/panel/mw02489/Adam-Walker-and-his-family.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw02489/mw02489.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/everything-else)
14:34:53	484/484	---M-Z	200	added ('OK')	image/gif	etag:%221e4-45daf87eda100-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots8.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots8.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/everything-else)
14:34:54	24556/24556	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2021:07:31%20GMT	https://collectionimages.npg.org.uk/panel/mw00149/Queen-Anne-William-Duke-of-Gloucester.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw00149/mw00149.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/landscape-or-portrait)
14:34:54	463/463	---M-Z	200	added ('OK')	image/gif	etag:%221cf-45daf882aaa00-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots9.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots9.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/landscape-or-portrait)
14:34:54	22673/22673	---MC-	200	added ('OK')	image/jpeg	date:Sun,%2003%20Oct%202021%2019:01:54%20GMT	https://collectionimages.npg.org.uk/panel/mw01064/The-1st-Earl-of-Monmouth-and-his-family.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw01064/mw01064.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/how-will-you-arrange-everyone)
14:34:54	25726/25726	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2020%20Oct%202017%2023:46:51%20GMT	https://collectionimages.npg.org.uk/panel/mw84124/Loel-Patrick-Guinness-Victoria-Christina-Niarchos-ne-Guinness-Maria-Alexandra-Guinness.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw84124/mw84124.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/how-will-you-arrange-everyone)
14:34:54	25496/25496	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2013%20Oct%202021%2020:07:24%20GMT	https://collectionimages.npg.org.uk/panel/mw00882/The-Duke-of-Buckingham-and-his-Family.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw00882/mw00882.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/how-will-you-arrange-everyone)
14:34:55	487/487	---M-Z	200	added ('OK')	image/gif	etag:%221e7-45daf8876f540-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots10.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots10.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/how-will-you-arrange-everyone)
14:34:55	125956/125956	UR-MCZ	200	updated ('OK')	image/jpeg	etag:%221ec04-5b8d93639a406-gzip%22	https://www.npg.org.uk/assets/images/visit/568_TWPPP_00244.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/visit/568_TWPPP_00244.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/how-will-you-arrange-everyone)
